AwardID,AwardTitle,Startdate,Enddate,AwardAmount,Type,Investigators,Institutions
1400503,Systemic Change Through Process Technology,9/1/14,8/31/17,199828,Standard Grant,Pradeep Kumar;,Community College of Beaver County
1400505,Understanding the Deformation of Heterogeneous Nanocrystalline Metals - Integrating in situ Experiments with Stochastic Crystal Plasticity,7/1/14,6/30/17,400000,Standard Grant,Pedro Peralta;Jagannathan Rajagopalan;,Arizona State University
1400521,ATETV presents SciTrends,6/15/14,5/31/17,890459,Standard Grant,Steven Budd;Anthony Manupelli;,"Pellet Productions, Inc."
1400527,"Integrated, Application-Based Curriculum in Adv Mfg",8/1/14,7/31/17,199958,Standard Grant,Sue Babione;Perlberg James;Jeffery Hamilton;Michael Smithback;,Terra State Community College
1400528,Cybersecurity: New Pathways to Meet National Security Needs,10/1/14,9/30/17,713996,Standard Grant,Margaret Spivey;Steve Shank;,Hagerstown Community College
1400530,"Faculty Development for Technician Education in Welding, Materials Joining, and Non-Destructive Testing",7/1/14,6/30/16,197944,Standard Grant,Lyn Potter;Susan Ruta;Jacqueline Smith;,Chattanooga State Community College
1400531,Increasing the Number of Women in Technical Careers: Online Professional Development of Leadership Teams at Community Colleges,8/1/14,7/31/17,899841,Standard Grant,Donna Milgram;Gordon Snyder;,"Institute for Women in Trades, Technology and Science"
1400541,Second Look: Increasing STEM Workforce by Improving STEM Perception,9/1/14,8/31/17,199964,Standard Grant,Kristina Tackett;Brian Sparks;,Southcentral Kentucky Community and Technical College
1400543,PostDoctoral Research Fellowship,7/1/14,6/30/18,150000,Fellowship,Jeffrey Meier;,Meier Jeffrey L
1400545,Teaching Teamwork: Electronics Instruction in a Collaborative Environment,7/15/14,6/30/17,896130,Standard Grant,Paul Horwitz;John Chamberlain;Albert Koon;,Concord Consortium
1400551,Linking Equations to Engineering Technology,7/15/14,6/30/16,200000,Standard Grant,"William Grossman;Robert Ryder, Jr.;Thomas Wagner;",Housatonic Community College
1400555,"New problems in continuum mechanics: asymptotic eigenvalue distributions, rigorous numerical stability analysis and weakly nonlinear asymptotics in periodic thin film flow",7/15/14,6/30/17,158604,Continuing grant,Kevin Zumbrun;,Indiana University
1400556,RUI: Reactive Uptake and Heterogeneous Chemistry of Biogenic VOCs on Mineral Aerosol,7/15/14,6/30/17,285568,Standard Grant,Ryan Hinrichs;,Drew University
1400557,Automate! Building Automation Systems,9/1/14,8/31/17,823366,Standard Grant,Thomas Pensabene;,Metropolitan Community College
1400558,PostDoctoral Research Fellowship,9/1/14,8/31/18,150000,Fellowship,Mary Wootters;,Wootters Mary K
1400561,Midwest Photonics Education Center,9/1/14,8/31/18,1643568,Continuing grant,Greg Kepner;Steven Dulmes;Anca Sala;Larry Dosser;,Indian Hills Community College
